"Резултати по училища от националното външно оценяване за IV клас","","","","","","","","","","","","","","",""
"№","Област","Община","Населено място","Име на училище","Вид училище (чл.26 от ЗНП)","Общ брой ученици в IV клас за 2016 г.","Брой ученици участвали във външното оценяване БЕЛ","Брой ученици  участвали във външното оценяване МАТ","Брой ученициучаствали във външното оценяване ЧО","Брой ученици участвали във външното оценяване ЧП","Среден успех за училище по БЕЛ","Среден успех за училище по МАТ","Среден успех за училище по ЧО","Среден успех за училище по ЧП","Среден успех за училище"
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"1","Перник","Радомир","Радомир","НУ ""Арх. Зиновий""","1","59","53","53","53","53","19.04","18.57","19.75","19.81","19.29"
"2","Перник","Перник","Перник","ОУ ""Свети Иван Рилски""","2","145","141","141","143","141","16.47","16.82","19.19","17.81","17.57"
"3","Перник","Перник","Перник","XIII ОУ ""Св. Св. Кирил и Методий""","2","34","32","33","33","33","17.12","16.39","18.58","17.82","17.48"
"4","Перник","Перник","Драгичево","ОУ ""Св. Св. Кирил и Методий""","2","14","14","14","14","14","15.86","16.79","18.71","18.29","17.41"
"5","Перник","Перник","Перник","ХІІ ОУ ""Васил Левски""","2","21","17","17","18","17","17.59","16.76","17.89","15.94","17.05"
"6","Перник","Перник","Перник","СОУРИЧЕ ""Д-р Петър Берон""","3","96","92","93","93","91","16.91","14.99","17.98","16.68","16.64"
"7","Перник","Перник","Рударци","ОУ ""Св. Климент Охридски""","2","9","9","9","9","9","17","14.89","18.33","15.89","16.53"
"8","Перник","Перник","Перник","ХІ ОУ ""Елин Пелин""","2","105","102","103","100","102","15.45","14.99","18.44","17.07","16.49"
"9","Перник","Перник","Перник","XVI ОУ ""Св. Св. Кирил и Методий""","2","37","35","35","35","35","16.63","14.63","18.17","15.37","16.2"
"10","Перник","Перник","Кладница","ОУ ""Св. Климент Охридски""","2","5","5","5","5","5","16.4","13.6","17.8","16.2","16"
"11","Перник","Радомир","Радомир","ОУ ""Хр. Смирненски""","2","56","51","51","49","51","16.06","14.82","16.82","16.08","15.95"
"12","Перник","Перник","Перник","Х ОУ ""Алеко Константинов""","2","61","55","56","54","56","15.75","14.59","17.28","15.27","15.72"
"13","Перник","Перник","Ярджиловци","ОУ ""Отец Паисий""","2","7","7","7","7","7","16.29","14.14","16.29","16.14","15.72"
"14","Перник","Брезник","Брезник","СОУ ""Васил Левски""","3","29","23","23","23","23","14.65","14.52","16.7","16.83","15.68"
"15","Перник","Радомир","Дрен","СОУ ""Христо Ботев""","3","5","3","4","3","3","12.33","15.75","18.67","15.67","15.61"
"16","Перник","Радомир","Извор","ОУ ""Иван Вазов""","6","4","3","3","3","3","14.33","15.67","15.67","16","15.42"
"17","Перник","Перник","Перник","ОУ ""Св. Константин Кирил Философ""","2","38","37","37","36","37","13.81","13.41","17.75","15.38","15.09"
"18","Перник","Перник","Перник","VI СОУ ""Св. Св. Кирил и Методий""","3","27","24","23","22","22","13.62","13.96","16.23","14.23","14.51"
"19","Перник","Перник","Дивотино","ОУ ""Св. Св. Кирил и Методий""","2","6","6","6","6","6","12","12","16","16","14"
"20","Перник","Перник","Перник","VІІ ОУ ""Г. С. Раковски""","2","32","30","29","30","30","13.43","11.69","17.37","13.43","13.98"
"21","Перник","Брезник","Ноевци","ОУ ""Христо Смирненски""","2","7","6","6","6","6","13.17","12.17","15.17","14.67","13.8"
"22","Перник","Земен","Земен","СОУ ""Св. Св. Кирил и Методий""","3","17","11","12","13","13","11.64","12.58","14.69","14.85","13.44"
"23","Перник","Перник","Батановци","ОУ ""Христо Ботев""","2","19","19","19","19","19","13.58","11.63","14.11","13.42","13.19"
"24","Перник","Перник","Перник","IX ОУ ""Т. Ненков""","10","42","37","37","36","37","11.38","12.49","14.03","14.57","13.12"
"25","Перник","Перник","Перник","VІІІ ОУ""Кракра Пернишки""","2","25","21","22","21","21","10.86","11.73","14.95","14.38","12.98"
"26","Перник","Перник","Перник","V СОУ ""П.Р. Славейков""","3","30","24","24","26","22","9.79","12.42","13.58","13.77","12.39"
"27","Перник","Ковачевци","Калище","ОУ ""Св. Св. Кирил и Методий""","2","3","3","3","3","3","10.67","13","12.33","13.33","12.33"
"28","Перник","Радомир","Гълъбник","ОУ ""Христо Ботев""","2","7","6","5","5","7","10.83","10.6","12.4","12","11.46"
"29","Перник","Трън","Трън","СОУ""Гео Милев""","3","28","26","27","26","24","8.5","8","12.19","10.54","9.81"
"ОБЩО","","","","","","968","892","897","891","890","14.18","13.92","16.45","15.43","15"
